"","X.1","X","manufacturer","trans","drv","cty","hwy"
"1",1,1,"audi","auto","f",18,29
"2",2,2,"audi","manual","f",21,29
"3",3,3,"audi","manual","f",20,31
"4",4,4,"audi","auto","f",21,30
"5",5,5,"audi","auto","f",16,26
"6",6,6,"audi","manual","f",18,26
"7",7,7,"audi","auto","f",18,27
"8",8,8,"audi","manual","4",18,26
"9",9,9,"audi","auto","4",16,25
"10",10,10,"audi","manual","4",20,28
"11",11,11,"audi","auto","4",19,27
"12",12,12,"audi","auto","4",15,25
"13",13,13,"audi","manual","4",17,25
"14",14,14,"audi","auto","4",17,25
"15",15,15,"audi","manual","4",15,25
"16",16,16,"audi","auto","4",15,24
"17",17,17,"audi","auto","4",17,25
"18",18,18,"audi","auto","4",16,23
"19",19,19,"chevrolet","auto","r",14,20
"20",20,20,"chevrolet","auto","r",11,15
"21",21,21,"chevrolet","auto","r",14,20
"22",22,22,"chevrolet","auto","r",13,17
"23",23,23,"chevrolet","auto","r",12,17
"24",24,24,"chevrolet","manual","r",16,26
"25",25,25,"chevrolet","auto","r",15,23
"26",26,26,"chevrolet","manual","r",16,26
"27",27,27,"chevrolet","auto","r",15,25
"28",28,28,"chevrolet","manual","r",15,24
"29",29,29,"chevrolet","auto","4",14,19
"30",30,30,"chevrolet","auto","4",11,14
"31",31,31,"chevrolet","auto","4",11,15
"32",32,32,"chevrolet","auto","4",14,17
"33",33,33,"chevrolet","auto","f",19,27
"34",34,34,"chevrolet","auto","f",22,30
"35",35,35,"chevrolet","auto","f",18,26
"36",36,36,"chevrolet","auto","f",18,29
"37",37,37,"chevrolet","auto","f",17,26
"38",38,38,"dodge","auto","f",18,24
"39",39,39,"dodge","auto","f",17,24
"40",40,40,"dodge","auto","f",16,22
"41",41,41,"dodge","auto","f",16,22
"42",42,42,"dodge","auto","f",17,24
"43",43,43,"dodge","auto","f",17,24
"44",44,44,"dodge","auto","f",11,17
"45",45,45,"dodge","auto","f",15,22
"46",46,46,"dodge","auto","f",15,21
"47",47,47,"dodge","auto","f",16,23
"48",48,48,"dodge","auto","f",16,23
"49",49,49,"dodge","manual","4",15,19
"50",50,50,"dodge","auto","4",14,18
"51",51,51,"dodge","auto","4",13,17
"52",52,52,"dodge","manual","4",14,17
"53",53,53,"dodge","auto","4",14,19
"54",54,54,"dodge","auto","4",14,19
"55",55,55,"dodge","auto","4",9,12
"56",56,56,"dodge","manual","4",11,17
"57",57,57,"dodge","auto","4",11,15
"58",58,58,"dodge","auto","4",13,17
"59",59,59,"dodge","auto","4",13,17
"60",60,60,"dodge","auto","4",9,12
"61",61,61,"dodge","auto","4",13,17
"62",62,62,"dodge","auto","4",11,16
"63",63,63,"dodge","auto","4",13,18
"64",64,64,"dodge","auto","4",11,15
"65",65,65,"dodge","manual","4",12,16
"66",66,66,"dodge","auto","4",9,12
"67",67,67,"dodge","auto","4",13,17
"68",68,68,"dodge","auto","4",13,17
"69",69,69,"dodge","manual","4",12,16
"70",70,70,"dodge","manual","4",9,12
"71",71,71,"dodge","auto","4",11,15
"72",72,72,"dodge","manual","4",11,16
"73",73,73,"dodge","auto","4",13,17
"74",74,74,"dodge","auto","4",11,15
"75",75,75,"ford","auto","r",11,17
"76",76,76,"ford","auto","r",11,17
"77",77,77,"ford","auto","r",12,18
"78",78,78,"ford","auto","4",14,17
"79",79,79,"ford","manual","4",15,19
"80",80,80,"ford","auto","4",14,17
"81",81,81,"ford","auto","4",13,19
"82",82,82,"ford","auto","4",13,19
"83",83,83,"ford","auto","4",13,17
"84",84,84,"ford","auto","4",14,17
"85",85,85,"ford","manual","4",14,17
"86",86,86,"ford","manual","4",13,16
"87",87,87,"ford","auto","4",13,16
"88",88,88,"ford","auto","4",13,17
"89",89,89,"ford","auto","4",11,15
"90",90,90,"ford","auto","4",13,17
"91",91,91,"ford","manual","r",18,26
"92",92,92,"ford","auto","r",18,25
"93",93,93,"ford","manual","r",17,26
"94",94,94,"ford","auto","r",16,24
"95",95,95,"ford","auto","r",15,21
"96",96,96,"ford","manual","r",15,22
"97",97,97,"ford","manual","r",15,23
"98",98,98,"ford","auto","r",15,22
"99",99,99,"ford","manual","r",14,20
"100",100,100,"honda","manual","f",28,33
"101",101,101,"honda","auto","f",24,32
"102",102,102,"honda","manual","f",25,32
"103",103,103,"honda","manual","f",23,29
"104",104,104,"honda","auto","f",24,32
"105",105,105,"honda","manual","f",26,34
"106",106,106,"honda","auto","f",25,36
"107",107,107,"honda","auto","f",24,36
"108",108,108,"honda","manual","f",21,29
"109",109,109,"hyundai","auto","f",18,26
"110",110,110,"hyundai","manual","f",18,27
"111",111,111,"hyundai","auto","f",21,30
"112",112,112,"hyundai","manual","f",21,31
"113",113,113,"hyundai","auto","f",18,26
"114",114,114,"hyundai","manual","f",18,26
"115",115,115,"hyundai","auto","f",19,28
"116",116,116,"hyundai","auto","f",19,26
"117",117,117,"hyundai","manual","f",19,29
"118",118,118,"hyundai","manual","f",20,28
"119",119,119,"hyundai","auto","f",20,27
"120",120,120,"hyundai","auto","f",17,24
"121",121,121,"hyundai","manual","f",16,24
"122",122,122,"hyundai","manual","f",17,24
"123",123,123,"jeep","auto","4",17,22
"124",124,124,"jeep","auto","4",15,19
"125",125,125,"jeep","auto","4",15,20
"126",126,126,"jeep","auto","4",14,17
"127",127,127,"jeep","auto","4",9,12
"128",128,128,"jeep","auto","4",14,19
"129",129,129,"jeep","auto","4",13,18
"130",130,130,"jeep","auto","4",11,14
"131",131,131,"land rover","auto","4",11,15
"132",132,132,"land rover","auto","4",12,18
"133",133,133,"land rover","auto","4",12,18
"134",134,134,"land rover","auto","4",11,15
"135",135,135,"lincoln","auto","r",11,17
"136",136,136,"lincoln","auto","r",11,16
"137",137,137,"lincoln","auto","r",12,18
"138",138,138,"mercury","auto","4",14,17
"139",139,139,"mercury","auto","4",13,19
"140",140,140,"mercury","auto","4",13,19
"141",141,141,"mercury","auto","4",13,17
"142",142,142,"nissan","manual","f",21,29
"143",143,143,"nissan","auto","f",19,27
"144",144,144,"nissan","auto","f",23,31
"145",145,145,"nissan","manual","f",23,32
"146",146,146,"nissan","manual","f",19,27
"147",147,147,"nissan","auto","f",19,26
"148",148,148,"nissan","auto","f",18,26
"149",149,149,"nissan","manual","f",19,25
"150",150,150,"nissan","auto","f",19,25
"151",151,151,"nissan","auto","4",14,17
"152",152,152,"nissan","manual","4",15,17
"153",153,153,"nissan","auto","4",14,20
"154",154,154,"nissan","auto","4",12,18
"155",155,155,"pontiac","auto","f",18,26
"156",156,156,"pontiac","auto","f",16,26
"157",157,157,"pontiac","auto","f",17,27
"158",158,158,"pontiac","auto","f",18,28
"159",159,159,"pontiac","auto","f",16,25
"160",160,160,"subaru","manual","4",18,25
"161",161,161,"subaru","auto","4",18,24
"162",162,162,"subaru","manual","4",20,27
"163",163,163,"subaru","manual","4",19,25
"164",164,164,"subaru","auto","4",20,26
